League,Team,Player,Country,Appearances,URL
Major League Soccer,2019 Columbus Crew SC season,Milton Valenzuela,Argentina,0,https://en.wikipedia.org/wiki/Milton_Valenzuela
Major League Soccer,2019 Columbus Crew SC season,Waylon Francis,Costa_Rica,6,https://en.wikipedia.org/wiki/Waylon_Francis
Major League Soccer,2019 Columbus Crew SC season,Alex Crognale,United_States,0,https://en.wikipedia.org/wiki/Alex_Crognale
Major League Soccer,2019 Columbus Crew SC season,Aboubacar Keita,United_States,0,https://en.wikipedia.org/wiki/Aboubacar_Keita
Major League Soccer,2019 Columbus Crew SC season,Eloy Room,Cura%C3%A7ao,34,https://en.wikipedia.org/wiki/Eloy_Room
Major League Soccer,2019 Columbus Crew SC season,Josh Williams,United_States,0,https://en.wikipedia.org/wiki/Josh_Williams_(soccer)
Major League Soccer,2019 Columbus Crew SC season,Jon Kempin,United_States,0,https://en.wikipedia.org/wiki/Jon_Kempin
Major League Soccer,2019 Columbus Crew SC season,Connor Maloney,United_States,0,https://en.wikipedia.org/wiki/Connor_Maloney
Major League Soccer,2019 Columbus Crew SC season,Artur,Brazil,0,https://en.wikipedia.org/wiki/Jos%C3%A9_Artur_de_Lima_Junior
Major League Soccer,2019 Columbus Crew SC season,Luis Argudo,United_States,0,https://en.wikipedia.org/wiki/Luis_Argudo
Major League Soccer,2019 Columbus Crew SC season,Harrison Afful,Ghana,84,https://en.wikipedia.org/wiki/Harrison_Afful
Major League Soccer,2019 Columbus Crew SC season,Pedro Santos,Portugal,0,"https://en.wikipedia.org/wiki/Pedro_Santos_(footballer,_born_1988)"
Major League Soccer,2019 Columbus Crew SC season,David Guzmán,Costa_Rica,56,https://en.wikipedia.org/wiki/David_Guzm%C3%A1n
Major League Soccer,2019 Columbus Crew SC season,Wil Trapp,United_States,20,https://en.wikipedia.org/wiki/Wil_Trapp
Major League Soccer,2019 Columbus Crew SC season,Luis Díaz,Costa_Rica,2,https://en.wikipedia.org/wiki/Luis_D%C3%ADaz_Espinoza
Major League Soccer,2019 Columbus Crew SC season,Hector Jiménez,United_States,0,https://en.wikipedia.org/wiki/Hector_Jim%C3%A9nez_(soccer)
Major League Soccer,2019 Columbus Crew SC season,Eduardo Sosa,Venezuela,0,https://en.wikipedia.org/wiki/Eduardo_Sosa
Major League Soccer,2019 Columbus Crew SC season,Jonathan Mensah,Ghana,65,https://en.wikipedia.org/wiki/Jonathan_Mensah
Major League Soccer,2019 Columbus Crew SC season,Federico Higuaín,Argentina,0,https://en.wikipedia.org/wiki/Federico_Higua%C3%ADn
Major League Soccer,2019 Columbus Crew SC season,Youness Mokhtar,Morocco,0,https://en.wikipedia.org/wiki/Youness_Mokhtar
Major League Soccer,2019 Columbus Crew SC season,Jordan Hamilton,Canada,2,https://en.wikipedia.org/wiki/Jordan_Hamilton_(soccer)
Major League Soccer,2019 Columbus Crew SC season,David Accam,Ghana,11,https://en.wikipedia.org/wiki/David_Accam
Major League Soccer,2019 Columbus Crew SC season,Ricardo Clark,United_States,34,https://en.wikipedia.org/wiki/Ricardo_Clark
Major League Soccer,2019 Columbus Crew SC season,Romario Williams,Jamaica,14,https://en.wikipedia.org/wiki/Romario_Williams
Major League Soccer,2019 Columbus Crew SC season,Edward Opoku,Ghana,0,https://en.wikipedia.org/wiki/Edward_Opoku
Major League Soccer,2019 Columbus Crew SC season,Gyasi Zardes,United_States,56,https://en.wikipedia.org/wiki/Gyasi_Zardes
Major League Soccer,2019 Columbus Crew SC season,Ben Lundgaard,United_States,0,https://en.wikipedia.org/wiki/Ben_Lundgaard
Major League Soccer,2019 Columbus Crew SC season,Lalas Abubakar,Ghana,0,https://en.wikipedia.org/wiki/Lalas_Abubakar
Major League Soccer,2019 Columbus Crew SC season,Chris Cadden,Scotland,2,https://en.wikipedia.org/wiki/Chris_Cadden
Major League Soccer,2019 Columbus Crew SC season,JJ Williams,United_States,0,https://en.wikipedia.org/wiki/JJ_Williams_(soccer)
Major League Soccer,2019 FC Dallas season,Dante Sealy,United_States,0,https://en.wikipedia.org/wiki/Dante_Sealy
Major League Soccer,2019 FC Dallas season,Ricardo Pepi,United_States,0,https://en.wikipedia.org/wiki/Ricardo_Pepi
Major League Soccer,2019 FC Dallas season,Edwin Cerrillo,United_States,0,https://en.wikipedia.org/wiki/Edwin_Cerrillo
Major League Soccer,2019 FC Dallas season,John Nelson,United_States,0,"https://en.wikipedia.org/wiki/John_Nelson_(soccer,_born_1998)"
Major League Soccer,2019 FC Dallas season,Bressan,Brazil,0,https://en.wikipedia.org/wiki/Bressan_(footballer)
